max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;200;4;4000000;225346;132;527054;
100;200;4;4000000;215684;120;526206;
100;200;4;4000000;227176;130;527744;
100;200;4;4000000;235667;139;527249;
100;200;24;4000000;483093;149;907665;
100;200;24;4000000;486809;152;910023;
100;200;24;4000000;495571;151;911766;
100;200;24;4000000;489488;152;908529;
100;200;49;4000000;734140;146;5622691;
100;200;49;4000000;743049;147;5629297;
100;200;49;4000000;793816;168;5638226;
100;200;49;4000000;815468;159;5630398;
100;200;4;6000000;238535;139;790739;
100;200;4;6000000;239236;136;790924;
100;200;4;6000000;238445;140;790569;
100;200;4;6000000;227735;130;794432;
100;200;24;6000000;487312;154;1372626;
100;200;24;6000000;509958;154;1371218;
100;200;24;6000000;483763;157;1373481;
100;200;24;6000000;488291;143;1375203;
100;200;49;6000000;805875;166;8437563;
100;200;49;6000000;810686;157;8435702;
100;200;49;6000000;800720;166;8442429;
100;200;49;6000000;809274;159;8446786;
100;200;4;8000000;244020;151;1061791;
100;200;4;8000000;222019;136;1060680;
100;200;4;8000000;244900;153;1064809;
100;200;4;8000000;236432;134;1065206;
100;200;24;8000000;491598;150;1839393;
100;200;24;8000000;499221;152;1842240;
100;200;24;8000000;524200;164;1848694;
100;200;24;8000000;464196;140;1846017;
100;200;49;8000000;865491;185;11258881;
100;200;49;8000000;844444;179;11258064;
100;200;49;8000000;846717;167;11260328;
100;200;49;8000000;850612;171;11259785;
100;200;4;10000000;253093;146;1337096;
100;200;4;10000000;250325;151;1336791;
100;200;4;10000000;247453;141;1339918;
100;200;4;10000000;249546;141;1340449;
100;200;24;10000000;503873;160;2383043;
100;200;24;10000000;495176;150;2399520;
100;200;24;10000000;516996;150;2398368;
100;200;24;10000000;474289;142;2427178;
100;200;49;10000000;785207;152;14096588;
100;200;49;10000000;789148;159;14094792;
100;200;49;10000000;790261;153;14095248;
100;200;49;10000000;813305;172;14134095;
100;400;4;2000000;383067;128;1020888;
100;400;4;2000000;385468;128;1022235;
100;400;4;2000000;385943;135;1021420;
100;400;4;2000000;385098;135;1017285;
100;400;24;2000000;5899790;158;2720044;
100;400;24;2000000;979730;160;2722944;
100;400;24;2000000;973830;156;2725207;
100;400;24;2000000;973628;155;2725186;
100;400;49;2000000;11482888;166;5524320;
100;400;49;2000000;1600923;164;5515220;
100;400;49;2000000;1605058;169;5669497;
100;400;49;2000000;1666023;160;5540797;
100;400;4;4000000;386674;131;1994779;
100;400;4;4000000;382640;131;1996188;
100;400;4;4000000;391468;133;1998914;
100;400;4;4000000;381637;130;2005494;
100;400;24;4000000;917498;153;5423948;
100;400;24;4000000;954716;151;5434439;
100;400;24;4000000;859883;137;5439118;
100;400;24;4000000;869959;150;5457766;
100;400;49;4000000;1515338;151;11006671;
100;400;49;4000000;1648057;163;11020355;
100;400;49;4000000;1635982;176;10998153;
100;400;49;4000000;1633736;161;11004158;
100;400;4;6000000;397527;140;3045848;
100;400;4;6000000;402379;147;3076217;
100;400;4;6000000;385148;149;3057624;
100;400;4;6000000;389036;131;3065399;
100;400;24;6000000;975577;152;8206057;
100;400;24;6000000;927151;163;8194758;
100;400;24;6000000;942202;150;8216152;
100;400;24;6000000;940054;158;8230114;
100;400;49;6000000;1634301;162;16587020;
100;400;49;6000000;1653254;165;16578539;
100;400;49;6000000;1517244;151;16576168;
100;400;49;6000000;1530636;150;16579302;
100;400;4;8000000;364557;136;4105806;
100;400;4;8000000;366510;140;4123325;
100;400;4;8000000;364138;125;4138506;
100;400;4;8000000;367050;124;4151022;
100;400;24;8000000;887919;142;10982525;
100;400;24;8000000;891097;138;11021265;
100;400;24;8000000;887954;142;10990640;
100;400;24;8000000;888850;140;11022129;
100;400;49;8000000;1548752;151;22311007;
100;400;49;8000000;1540329;153;22198105;
100;400;49;8000000;1546069;158;22192871;
100;400;49;8000000;1544910;151;22197305;
100;400;4;10000000;368106;136;5195680;
100;400;4;10000000;368067;124;5220702;
100;400;4;10000000;370744;128;5229797;
100;400;4;10000000;369624;128;5207109;
