max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;100;4;1000000;423967;137;47086;
100;100;4;1000000;421756;141;47060;
100;100;4;1000000;421484;145;47042;
100;100;4;2000000;425504;154;83554;
100;100;4;2000000;424189;153;83515;
100;100;4;2000000;420314;159;83717;
100;100;4;2000000;420773;163;83602;
100;100;4;2000000;422470;159;83957;
100;100;4;3000000;423381;160;120381;
100;100;4;3000000;424735;160;120546;
100;100;4;3000000;421180;149;120516;
100;100;4;3000000;421743;163;120269;
100;100;4;3000000;421668;160;120184;
100;100;4;4000000;424093;157;156303;
100;100;4;4000000;423650;154;155996;
100;100;4;4000000;423304;162;156239;
100;100;4;4000000;421492;149;156391;
100;100;4;4000000;426349;177;156250;
100;100;4;5000000;424839;156;193077;
100;100;4;5000000;427545;156;193096;
100;100;4;5000000;421502;158;193075;
100;100;4;5000000;422157;149;193008;
100;100;4;5000000;420853;149;192765;
100;100;4;6000000;413860;154;228876;
100;100;4;6000000;430494;151;228876;
100;100;4;6000000;427130;150;228543;
100;100;4;6000000;422472;144;228643;
100;100;4;6000000;421681;157;228781;
100;100;4;7000000;421856;154;265203;
100;100;4;7000000;423033;152;265302;
100;100;4;7000000;422131;159;265525;
100;100;4;7000000;424873;152;265687;
100;100;4;7000000;422788;152;265626;
100;100;4;8000000;424742;163;302385;
100;100;4;8000000;422761;164;301709;
100;100;4;8000000;421587;166;301733;
100;100;4;8000000;421505;162;302079;
100;100;4;8000000;422455;155;302178;
100;100;4;9000000;423836;151;338006;
100;100;4;9000000;427302;171;337861;
100;100;4;9000000;422981;160;338637;
100;100;4;9000000;421825;164;337760;
100;100;4;9000000;415098;169;338416;
100;100;4;10000000;426845;165;375508;
100;100;4;10000000;423912;167;375186;
100;100;4;10000000;422409;167;375087;
100;100;4;10000000;421447;162;375365;
100;100;4;10000000;422184;162;374513;
100;100;4;1000000;422301;135;46976;
100;100;4;1000000;420958;143;47062;
100;100;4;1000000;421501;137;47044;
100;100;4;1000000;422581;134;47107;
100;100;4;1000000;421058;134;47022;
200;100;4;1000000;861061;247;88575;
200;100;4;1000000;425761;263;88924;
200;100;4;1000000;422604;271;88708;
200;100;4;1000000;476038;256;88878;
200;100;4;1000000;420105;283;88861;
300;100;4;1000000;860338;403;123025;
300;100;4;1000000;426672;415;123400;
300;100;4;1000000;423189;445;123329;
300;100;4;1000000;421972;409;123727;
300;100;4;1000000;422668;416;123914;
400;100;4;1000000;860680;547;227791;
400;100;4;1000000;426356;537;228173;
400;100;4;1000000;422255;547;227902;
400;100;4;1000000;422166;717;227921;
400;100;4;1000000;424351;559;227942;
500;100;4;1000000;858718;681;277378;
500;100;4;1000000;423453;711;277425;
500;100;4;1000000;425615;698;277386;
500;100;4;1000000;424084;716;277478;
500;100;4;1000000;422327;684;277444;
600;100;4;1000000;863043;851;327768;
600;100;4;1000000;432453;851;328188;
600;100;4;1000000;424412;865;328140;
600;100;4;1000000;423028;856;327687;
600;100;4;1000000;423856;855;328274;
700;100;4;1000000;859501;970;378061;
700;100;4;1000000;436261;1010;377986;
700;100;4;1000000;432241;994;378262;
